Prefix,Country,"Network name",Interval
35529280,Albania,"Amc Fixed",1/1
35529340,Albania,"Amc Fixed",1/1
35529370,Albania,"Amc Fixed",1/1
35529390,Albania,"Amc Fixed",1/1
35529423,Albania,"Amc Fixed",1/1
35529460,Albania,"Amc Fixed",1/1
35529490,Albania,"Amc Fixed",1/1
35529523,Albania,"Amc Fixed",1/1
35529550,Albania,"Amc Fixed",1/1
35529570,Albania,"Amc Fixed",1/1
35529590,Albania,"Amc Fixed",1/1
35529623,Albania,"Amc Fixed",1/1
35529650,Albania,"Amc Fixed",1/1
35529680,Albania,"Amc Fixed",1/1
35529723,Albania,"Amc Fixed",1/1
35529750,Albania,"Amc Fixed",1/1
35529763,Albania,"Amc Fixed",1/1
35529780,Albania,"Amc Fixed",1/1
35531150,Albania,"Amc Fixed",1/1
35531151,Albania,"Amc Fixed",1/1
35531172,Albania,"Amc Fixed",1/1
35531250,Albania,"Amc Fixed",1/1
35531260,Albania,"Amc Fixed",1/1
35531350,Albania,"Amc Fixed",1/1
35531351,Albania,"Amc Fixed",1/1
35531360,Albania,"Amc Fixed",1/1
35532500,Albania,"Amc Fixed",1/1
35532501,Albania,"Amc Fixed",1/1
35532502,Albania,"Amc Fixed",1/1
35532503,Albania,"Amc Fixed",1/1
35532504,Albania,"Amc Fixed",1/1
35532505,Albania,"Amc Fixed",1/1
35532600,Albania,"Amc Fixed",1/1
35532601,Albania,"Amc Fixed",1/1
3553270,Albania,"Amc Fixed",1/1
3553350,Albania,"Amc Fixed",1/1
3553351,Albania,"Amc Fixed",1/1
3553360,Albania,"Amc Fixed",1/1
35534520,Albania,"Amc Fixed",1/1
35534521,Albania,"Amc Fixed",1/1
3553460,Albania,"Amc Fixed",1/1
3553490,Albania,"Amc Fixed",1/1
3553491,Albania,"Amc Fixed",1/1
3553560,Albania,"Amc Fixed",1/1
35535700,Albania,"Amc Fixed",1/1
35535701,Albania,"Amc Fixed",1/1
35535702,Albania,"Amc Fixed",1/1
35535703,Albania,"Amc Fixed",1/1
35535704,Albania,"Amc Fixed",1/1
35535705,Albania,"Amc Fixed",1/1
35536023,Albania,"Amc Fixed",1/1
35536043,Albania,"Amc Fixed",1/1
35536063,Albania,"Amc Fixed",1/1
35536073,Albania,"Amc Fixed",1/1
35536090,Albania,"Amc Fixed",1/1
35536140,Albania,"Amc Fixed",1/1
35536141,Albania,"Amc Fixed",1/1
35536150,Albania,"Amc Fixed",1/1
35536220,Albania,"Amc Fixed",1/1
35536221,Albania,"Amc Fixed",1/1
35536240,Albania,"Amc Fixed",1/1
35536290,Albania,"Amc Fixed",1/1
35536321,Albania,"Amc Fixed",1/1
35536340,Albania,"Amc Fixed",1/1
35536380,Albania,"Amc Fixed",1/1
35536440,Albania,"Amc Fixed",1/1
35536480,Albania,"Amc Fixed",1/1
35536540,Albania,"Amc Fixed",1/1
35536580,Albania,"Amc Fixed",1/1
35536640,Albania,"Amc Fixed",1/1
35536670,Albania,"Amc Fixed",1/1
35536740,Albania,"Amc Fixed",1/1
35536770,Albania,"Amc Fixed",1/1
35536840,Albania,"Amc Fixed",1/1
35536862,Albania,"Amc Fixed",1/1
35536890,Albania,"Amc Fixed",1/1
35536923,Albania,"Amc Fixed",1/1
35536993,Albania,"Amc Fixed",1/1
35537140,Albania,"Amc Fixed",1/1
35537141,Albania,"Amc Fixed",1/1
35537160,Albania,"Amc Fixed",1/1
35537223,Albania,"Amc Fixed",1/1
35537250,Albania,"Amc Fixed",1/1
35537263,Albania,"Amc Fixed",1/1
35537283,Albania,"Amc Fixed",1/1
35537293,Albania,"Amc Fixed",1/1
35537330,Albania,"Amc Fixed",1/1
35537340,Albania,"Amc Fixed",1/1
35537370,Albania,"Amc Fixed",1/1
35537380,Albania,"Amc Fixed",1/1
35537393,Albania,"Amc Fixed",1/1
35537420,Albania,"Amc Fixed",1/1
35537450,Albania,"Amc Fixed",1/1
35537490,Albania,"Amc Fixed",1/1
35537494,Albania,"Amc Fixed",1/1
35537523,Albania,"Amc Fixed",1/1
35537563,Albania,"Amc Fixed",1/1
35537590,Albania,"Amc Fixed",1/1
35537623,Albania,"Amc Fixed",1/1
35537680,Albania,"Amc Fixed",1/1
35537740,Albania,"Amc Fixed",1/1
35537773,Albania,"Amc Fixed",1/1
35537790,Albania,"Amc Fixed",1/1
35537823,Albania,"Amc Fixed",1/1
35537843,Albania,"Amc Fixed",1/1
35537853,Albania,"Amc Fixed",1/1
35537870,Albania,"Amc Fixed",1/1
35537890,Albania,"Amc Fixed",1/1
35538140,Albania,"Amc Fixed",1/1
35538141,Albania,"Amc Fixed",1/1
35538150,Albania,"Amc Fixed",1/1
35538151,Albania,"Amc Fixed",1/1
35538152,Albania,"Amc Fixed",1/1
35538240,Albania,"Amc Fixed",1/1
35538241,Albania,"Amc Fixed",1/1
35538260,Albania,"Amc Fixed",1/1
35538350,Albania,"Amc Fixed",1/1
35538423,Albania,"Amc Fixed",1/1
35538470,Albania,"Amc Fixed",1/1
35538523,Albania,"Amc Fixed",1/1
35538570,Albania,"Amc Fixed",1/1
35538593,Albania,"Amc Fixed",1/1
35538623,Albania,"Amc Fixed",1/1
35538650,Albania,"Amc Fixed",1/1
35538680,Albania,"Amc Fixed",1/1
35538693,Albania,"Amc Fixed",1/1
35538725,Albania,"Amc Fixed",1/1
35538780,Albania,"Amc Fixed",1/1
35538790,Albania,"Amc Fixed",1/1
35538850,Albania,"Amc Fixed",1/1
35538923,Albania,"Amc Fixed",1/1
35538940,Albania,"Amc Fixed",1/1
35538980,Albania,"Amc Fixed",1/1
35539140,Albania,"Amc Fixed",1/1
35539141,Albania,"Amc Fixed",1/1
35539150,Albania,"Amc Fixed",1/1
35539151,Albania,"Amc Fixed",1/1
35539240,Albania,"Amc Fixed",1/1
35539241,Albania,"Amc Fixed",1/1
35539260,Albania,"Amc Fixed",1/1
35539350,Albania,"Amc Fixed",1/1
35539351,Albania,"Amc Fixed",1/1
35539360,Albania,"Amc Fixed",1/1
35539361,Albania,"Amc Fixed",1/1
35539440,Albania,"Amc Fixed",1/1
35539450,Albania,"Amc Fixed",1/1
35539540,Albania,"Amc Fixed",1/1
35539550,Albania,"Amc Fixed",1/1
35539551,Albania,"Amc Fixed",1/1
35539560,Albania,"Amc Fixed",1/1
35539640,Albania,"Amc Fixed",1/1
35539690,Albania,"Amc Fixed",1/1
35539740,Albania,"Amc Fixed",1/1
35539790,Albania,"Amc Fixed",1/1
35539823,Albania,"Amc Fixed",1/1
35539850,Albania,"Amc Fixed",1/1
35539880,Albania,"Amc Fixed",1/1
3554410,Albania,"Amc Fixed",1/1
3554450,Albania,"Amc Fixed",1/1
3554451,Albania,"Amc Fixed",1/1
3554452,Albania,"Amc Fixed",1/1
3554453,Albania,"Amc Fixed",1/1
3554480,Albania,"Amc Fixed",1/1
3554481,Albania,"Amc Fixed",1/1
3554482,Albania,"Amc Fixed",1/1
35545300,Albania,"Amc Fixed",1/1
35545301,Albania,"Amc Fixed",1/1
35545302,Albania,"Amc Fixed",1/1
35545303,Albania,"Amc Fixed",1/1
3554630,Albania,"Amc Fixed",1/1
3554631,Albania,"Amc Fixed",1/1
3554632,Albania,"Amc Fixed",1/1
3554633,Albania,"Amc Fixed",1/1
35547210,Albania,"Amc Fixed",1/1
35547220,Albania,"Amc Fixed",1/1
35547221,Albania,"Amc Fixed",1/1
35547222,Albania,"Amc Fixed",1/1
35547223,Albania,"Amc Fixed",1/1
35547224,Albania,"Amc Fixed",1/1
35547425,Albania,"Amc Fixed",1/1
35547480,Albania,"Amc Fixed",1/1
35547481,Albania,"Amc Fixed",1/1
35547520,Albania,"Amc Fixed",1/1
35547521,Albania,"Amc Fixed",1/1
35547550,Albania,"Amc Fixed",1/1
35547640,Albania,"Amc Fixed",1/1
35547641,Albania,"Amc Fixed",1/1
35547642,Albania,"Amc Fixed",1/1
35547643,Albania,"Amc Fixed",1/1
35547644,Albania,"Amc Fixed",1/1
35547700,Albania,"Amc Fixed",1/1
35547840,Albania,"Amc Fixed",1/1
35547841,Albania,"Amc Fixed",1/1
35547870,Albania,"Amc Fixed",1/1
35547950,Albania,"Amc Fixed",1/1
35548240,Albania,"Amc Fixed",1/1
35548241,Albania,"Amc Fixed",1/1
35548242,Albania,"Amc Fixed",1/1
35548243,Albania,"Amc Fixed",1/1
35548244,Albania,"Amc Fixed",1/1
35548270,Albania,"Amc Fixed",1/1
35548271,Albania,"Amc Fixed",1/1
35548272,Albania,"Amc Fixed",1/1
35548550,Albania,"Amc Fixed",1/1
35548551,Albania,"Amc Fixed",1/1
35548570,Albania,"Amc Fixed",1/1
35548660,Albania,"Amc Fixed",1/1
35548730,Albania,"Amc Fixed",1/1
35548731,Albania,"Amc Fixed",1/1
35548750,Albania,"Amc Fixed",1/1
35548810,Albania,"Amc Fixed",1/1
35548830,Albania,"Amc Fixed",1/1
35548855,Albania,"Amc Fixed",1/1
35548935,Albania,"Amc Fixed",1/1
35548936,Albania,"Amc Fixed",1/1
35548970,Albania,"Amc Fixed",1/1
35548971,Albania,"Amc Fixed",1/1
35549230,Albania,"Amc Fixed",1/1
35549231,Albania,"Amc Fixed",1/1
35549250,Albania,"Amc Fixed",1/1
35549420,Albania,"Amc Fixed",1/1
35549421,Albania,"Amc Fixed",1/1
35549440,Albania,"Amc Fixed",1/1
35549540,Albania,"Amc Fixed",1/1
35549541,Albania,"Amc Fixed",1/1
35549560,Albania,"Amc Fixed",1/1
35549730,Albania,"Amc Fixed",1/1
35549830,Albania,"Amc Fixed",1/1
35549930,Albania,"Amc Fixed",1/1
3555114,Albania,"Amc Fixed",1/1
35551180,Albania,"Amc Fixed",1/1
35551181,Albania,"Amc Fixed",1/1
35551240,Albania,"Amc Fixed",1/1
35551241,Albania,"Amc Fixed",1/1
35551254,Albania,"Amc Fixed",1/1
35551354,Albania,"Amc Fixed",1/1
35551360,Albania,"Amc Fixed",1/1
35551361,Albania,"Amc Fixed",1/1
35551460,Albania,"Amc Fixed",1/1
35551461,Albania,"Amc Fixed",1/1
35551480,Albania,"Amc Fixed",1/1
3555263,Albania,"Amc Fixed",1/1
3555264,Albania,"Amc Fixed",1/1
3555290,Albania,"Amc Fixed",1/1
35553600,Albania,"Amc Fixed",1/1
35553601,Albania,"Amc Fixed",1/1
35553602,Albania,"Amc Fixed",1/1
35553603,Albania,"Amc Fixed",1/1
35553604,Albania,"Amc Fixed",1/1
3555370,Albania,"Amc Fixed",1/1
3555451,Albania,"Amc Fixed",1/1
3555490,Albania,"Amc Fixed",1/1
3555491,Albania,"Amc Fixed",1/1
3555540,Albania,"Amc Fixed",1/1
35555900,Albania,"Amc Fixed",1/1
35555901,Albania,"Amc Fixed",1/1
35555902,Albania,"Amc Fixed",1/1
35555903,Albania,"Amc Fixed",1/1
35555904,Albania,"Amc Fixed",1/1
35556150,Albania,"Amc Fixed",1/1
35556170,Albania,"Amc Fixed",1/1
35556240,Albania,"Amc Fixed",1/1
35556293,Albania,"Amc Fixed",1/1
35556330,Albania,"Amc Fixed",1/1
35556331,Albania,"Amc Fixed",1/1
35556340,Albania,"Amc Fixed",1/1
35556445,Albania,"Amc Fixed",1/1
35556465,Albania,"Amc Fixed",1/1
35556550,Albania,"Amc Fixed",1/1
35556583,Albania,"Amc Fixed",1/1
35557043,Albania,"Amc Fixed",1/1
35557070,Albania,"Amc Fixed",1/1
35557094,Albania,"Amc Fixed",1/1
35557160,Albania,"Amc Fixed",1/1
35557161,Albania,"Amc Fixed",1/1
35557180,Albania,"Amc Fixed",1/1
35557250,Albania,"Amc Fixed",1/1
35557251,Albania,"Amc Fixed",1/1
35557260,Albania,"Amc Fixed",1/1
35557370,Albania,"Amc Fixed",1/1
35557371,Albania,"Amc Fixed",1/1
35557390,Albania,"Amc Fixed",1/1
35557463,Albania,"Amc Fixed",1/1
35557464,Albania,"Amc Fixed",1/1
35557543,Albania,"Amc Fixed",1/1
35557544,Albania,"Amc Fixed",1/1
35557584,Albania,"Amc Fixed",1/1
35557643,Albania,"Amc Fixed",1/1
35557644,Albania,"Amc Fixed",1/1
35557683,Albania,"Amc Fixed",1/1
35557752,Albania,"Amc Fixed",1/1
35557770,Albania,"Amc Fixed",1/1
35557771,Albania,"Amc Fixed",1/1
35557843,Albania,"Amc Fixed",1/1
35557850,Albania,"Amc Fixed",1/1
35557865,Albania,"Amc Fixed",1/1
35557880,Albania,"Amc Fixed",1/1
35557930,Albania,"Amc Fixed",1/1
35557943,Albania,"Amc Fixed",1/1
35557963,Albania,"Amc Fixed",1/1
35557993,Albania,"Amc Fixed",1/1
35558023,Albania,"Amc Fixed",1/1
35558070,Albania,"Amc Fixed",1/1
35558073,Albania,"Amc Fixed",1/1
35558144,Albania,"Amc Fixed",1/1
35558150,Albania,"Amc Fixed",1/1
35558151,Albania,"Amc Fixed",1/1
35558244,Albania,"Amc Fixed",1/1
35558250,Albania,"Amc Fixed",1/1
35558323,Albania,"Amc Fixed",1/1
35558373,Albania,"Amc Fixed",1/1
35558424,Albania,"Amc Fixed",1/1
35558430,Albania,"Amc Fixed",1/1
35558460,Albania,"Amc Fixed",1/1
35558484,Albania,"Amc Fixed",1/1
35558494,Albania,"Amc Fixed",1/1
35558540,Albania,"Amc Fixed",1/1
35558564,Albania,"Amc Fixed",1/1
35558580,Albania,"Amc Fixed",1/1
35558594,Albania,"Amc Fixed",1/1
35558624,Albania,"Amc Fixed",1/1
35558670,Albania,"Amc Fixed",1/1
35558693,Albania,"Amc Fixed",1/1
35558724,Albania,"Amc Fixed",1/1
35558764,Albania,"Amc Fixed",1/1
35558790,Albania,"Amc Fixed",1/1
35558824,Albania,"Amc Fixed",1/1
35558842,Albania,"Amc Fixed",1/1
35558852,Albania,"Amc Fixed",1/1
35558882,Albania,"Amc Fixed",1/1
35558924,Albania,"Amc Fixed",1/1
35558943,Albania,"Amc Fixed",1/1
35558953,Albania,"Amc Fixed",1/1
35558983,Albania,"Amc Fixed",1/1
35559144,Albania,"Amc Fixed",1/1
35559150,Albania,"Amc Fixed",1/1
35559240,Albania,"Amc Fixed",1/1
35559324,Albania,"Amc Fixed",1/1
35559360,Albania,"Amc Fixed",1/1
35559394,Albania,"Amc Fixed",1/1
35559424,Albania,"Amc Fixed",1/1
35559462,Albania,"Amc Fixed",1/1
35559492,Albania,"Amc Fixed",1/1
35559540,Albania,"Amc Fixed",1/1
35559572,Albania,"Amc Fixed",1/1
35559622,Albania,"Amc Fixed",1/1
35559664,Albania,"Amc Fixed",1/1
35559674,Albania,"Amc Fixed",1/1
35559684,Albania,"Amc Fixed",1/1
35559694,Albania,"Amc Fixed",1/1
35559722,Albania,"Amc Fixed",1/1
35559754,Albania,"Amc Fixed",1/1
35559770,Albania,"Amc Fixed",1/1
35559794,Albania,"Amc Fixed",1/1
35572780,Albania,"Amc Fixed",1/1
35581140,Albania,"Amc Fixed",1/1
35581141,Albania,"Amc Fixed",1/1
35581154,Albania,"Amc Fixed",1/1
35581240,Albania,"Amc Fixed",1/1
35581241,Albania,"Amc Fixed",1/1
35581270,Albania,"Amc Fixed",1/1
35581340,Albania,"Amc Fixed",1/1
35581341,Albania,"Amc Fixed",1/1
35581372,Albania,"Amc Fixed",1/1
35581450,Albania,"Amc Fixed",1/1
35581451,Albania,"Amc Fixed",1/1
35581472,Albania,"Amc Fixed",1/1
35581540,Albania,"Amc Fixed",1/1
35581572,Albania,"Amc Fixed",1/1
3558250,Albania,"Amc Fixed",1/1
3558290,Albania,"Amc Fixed",1/1
3558291,Albania,"Amc Fixed",1/1
3558340,Albania,"Amc Fixed",1/1
35583600,Albania,"Amc Fixed",1/1
35583601,Albania,"Amc Fixed",1/1
35583602,Albania,"Amc Fixed",1/1
35583603,Albania,"Amc Fixed",1/1
35583604,Albania,"Amc Fixed",1/1
35583605,Albania,"Amc Fixed",1/1
3558460,Albania,"Amc Fixed",1/1
35584820,Albania,"Amc Fixed",1/1
3558550,Albania,"Amc Fixed",1/1
35585820,Albania,"Amc Fixed",1/1
35586022,Albania,"Amc Fixed",1/1
35586070,Albania,"Amc Fixed",1/1
35586082,Albania,"Amc Fixed",1/1
35586144,Albania,"Amc Fixed",1/1
35586150,Albania,"Amc Fixed",1/1
35586220,Albania,"Amc Fixed",1/1
35586230,Albania,"Amc Fixed",1/1
35586260,Albania,"Amc Fixed",1/1
35586320,Albania,"Amc Fixed",1/1
35586321,Albania,"Amc Fixed",1/1
35586340,Albania,"Amc Fixed",1/1
35586344,Albania,"Amc Fixed",1/1
35586372,Albania,"Amc Fixed",1/1
35586420,Albania,"Amc Fixed",1/1
35586424,Albania,"Amc Fixed",1/1
35586450,Albania,"Amc Fixed",1/1
35586462,Albania,"Amc Fixed",1/1
35586472,Albania,"Amc Fixed",1/1
35586494,Albania,"Amc Fixed",1/1
35586524,Albania,"Amc Fixed",1/1
35586560,Albania,"Amc Fixed",1/1
35586572,Albania,"Amc Fixed",1/1
35586582,Albania,"Amc Fixed",1/1
35586622,Albania,"Amc Fixed",1/1
35586630,Albania,"Amc Fixed",1/1
35586672,Albania,"Amc Fixed",1/1
35586750,Albania,"Amc Fixed",1/1
35586796,Albania,"Amc Fixed",1/1
35586820,Albania,"Amc Fixed",1/1
35586850,Albania,"Amc Fixed",1/1
35586880,Albania,"Amc Fixed",1/1
35586892,Albania,"Amc Fixed",1/1
35586922,Albania,"Amc Fixed",1/1
35586930,Albania,"Amc Fixed",1/1
35586972,Albania,"Amc Fixed",1/1
35587142,Albania,"Amc Fixed",1/1
35587150,Albania,"Amc Fixed",1/1
35587151,Albania,"Amc Fixed",1/1
35587174,Albania,"Amc Fixed",1/1
35587184,Albania,"Amc Fixed",1/1
35587194,Albania,"Amc Fixed",1/1
35587224,Albania,"Amc Fixed",1/1
35587270,Albania,"Amc Fixed",1/1
35587294,Albania,"Amc Fixed",1/1
35587322,Albania,"Amc Fixed",1/1
35587392,Albania,"Amc Fixed",1/1
35587442,Albania,"Amc Fixed",1/1
35587482,Albania,"Amc Fixed",1/1
35587540,Albania,"Amc Fixed",1/1
35587562,Albania,"Amc Fixed",1/1
35587622,Albania,"Amc Fixed",1/1
35587652,Albania,"Amc Fixed",1/1
35587672,Albania,"Amc Fixed",1/1
35587692,Albania,"Amc Fixed",1/1
35587722,Albania,"Amc Fixed",1/1
35587760,Albania,"Amc Fixed",1/1
35587790,Albania,"Amc Fixed",1/1
35588140,Albania,"Amc Fixed",1/1
35588162,Albania,"Amc Fixed",1/1
35588194,Albania,"Amc Fixed",1/1
35588222,Albania,"Amc Fixed",1/1
35588262,Albania,"Amc Fixed",1/1
35588274,Albania,"Amc Fixed",1/1
35588294,Albania,"Amc Fixed",1/1
35588324,Albania,"Amc Fixed",1/1
35588364,Albania,"Amc Fixed",1/1
35588372,Albania,"Amc Fixed",1/1
35588392,Albania,"Amc Fixed",1/1
35588440,Albania,"Amc Fixed",1/1
35588480,Albania,"Amc Fixed",1/1
35588540,Albania,"Amc Fixed",1/1
35588562,Albania,"Amc Fixed",1/1
35588590,Albania,"Amc Fixed",1/1
35588640,Albania,"Amc Fixed",1/1
35588682,Albania,"Amc Fixed",1/1
35588692,Albania,"Amc Fixed",1/1
35588722,Albania,"Amc Fixed",1/1
35588750,Albania,"Amc Fixed",1/1
35588770,Albania,"Amc Fixed",1/1
35588790,Albania,"Amc Fixed",1/1
35589140,Albania,"Amc Fixed",1/1
35589146,Albania,"Amc Fixed",1/1
35589164,Albania,"Amc Fixed",1/1
35589192,Albania,"Amc Fixed",1/1
35589224,Albania,"Amc Fixed",1/1
35589280,Albania,"Amc Fixed",1/1
35589324,Albania,"Amc Fixed",1/1
35589422,Albania,"Amc Fixed",1/1
35589480,Albania,"Amc Fixed",1/1
35589524,Albania,"Amc Fixed",1/1
35589562,Albania,"Amc Fixed",1/1
35589590,Albania,"Amc Fixed",1/1
35568,Albania,"Amc Mobile",1/1
35567,Albania,"Eagle Mobile",1/1
355,Albania,Other,1/1
35566,Albania,"Plus Mobile",1/1
3554249,Albania,"Special Services",1/1
3554250,Albania,"Special Services",1/1
3554251,Albania,"Special Services",1/1
3554252,Albania,"Special Services",1/1
355422,Albania,Tirana,1/1
355423,Albania,Tirana,1/1
355424,Albania,Tirana,1/1
35569,Albania,"Vodafone Mobile",1/1
2136,Algeria,"Mpta Mobile",1/1
21377,Algeria,"Orascom Mobile",1/1
21378,Algeria,"Orascom Mobile",1/1
21379,Algeria,"Orascom Mobile",1/1
213,Algeria,Other,1/1
2135,Algeria,"Wataniya Mobile",1/1
16842,"American Samoa",Mobile,1/1
168473,"American Samoa",Mobile,1/1
1684,"American Samoa",Other,1/1
3763,Andorra,Mobile,1/1
3764,Andorra,Mobile,1/1
3766,Andorra,Mobile,1/1
376,Andorra,Other,1/1
24491,Angola,"Movicel Mobile",1/1
24499,Angola,"Movicel Mobile",1/1
244,Angola,Other,1/1
24492,Angola,"Unitel Mobile",1/1
24493,Angola,"Unitel Mobile",1/1
24494,Angola,"Unitel Mobile",1/1
1264581,Anguilla,"Digicel Mobile",1/1
1264582,Anguilla,"Digicel Mobile",1/1
1264583,Anguilla,"Digicel Mobile",1/1
1264584,Anguilla,"Digicel Mobile",1/1
1264235,Anguilla,Mobile,1/1
1264469,Anguilla,Mobile,1/1
1264476,Anguilla,Mobile,1/1
1264536,Anguilla,Mobile,1/1
1264537,Anguilla,Mobile,1/1
1264538,Anguilla,Mobile,1/1
1264539,Anguilla,Mobile,1/1
1264543,Anguilla,Mobile,1/1
1264729,Anguilla,Mobile,1/1
1264772,Anguilla,Mobile,1/1
1264,Anguilla,Other,1/1
6721,Antarctica,"All Country",1/1
1268464,"Antigua & Barbuda",Mobile,1/1
1268716,"Antigua & Barbuda",Mobile,1/1
1268717,"Antigua & Barbuda",Mobile,1/1
1268718,"Antigua & Barbuda",Mobile,1/1
1268719,"Antigua & Barbuda",Mobile,1/1
126872,"Antigua & Barbuda",Mobile,1/1
1268732,"Antigua & Barbuda",Mobile,1/1
1268734,"Antigua & Barbuda",Mobile,1/1
1268736,"Antigua & Barbuda",Mobile,1/1
1268764,"Antigua & Barbuda",Mobile,1/1
126877,"Antigua & Barbuda",Mobile,1/1
